class,color_code,superfamily
"Embryonal tumour with multilayered rosette, C19MC-altered",#1693D6,CNS_ET
Ewing sarcoma,#CE69EC,MNMT_CNS
Angiosarcoma,#d27fe4,MNMT_CNS
Gliosarcoma,#bb7af1,MNMT_CNS
Osteochondroma,#FA8CFF,MNMT_CNS
Chondrosarcoma,#f59ff6,MNMT_CNS
Chordoma,#ff83ff,MNMT_CNS
Haemangiopericytoma,#ED5CFC,MNMT_CNS
Haemangioma,#f05cf5,MNMT_CNS
Haemangioblastoma,#d658ff,MNMT_CNS
Hybrid nerve sheath tumours,#F7CA8A,CNPT
Malignant peripheral nerve sheath tumour,#decd77,CNPT
Neurofibroma,#ff9999,CNPT
Plexiform neurofibroma,#ec8589,CNPT
Melanotic schwannoma,#FFE1B2,CNPT
Schwannoma,#ffcdad,CNPT
Cellular schwannoma,#ffe1c0,CNPT
Control,#D3D3D3,CT
Anaplastic pleomorphic xanthoastrocytoma,#7C46C9,DGMACCA
Pleomorphic xanthoastrocytoma,#7440dd,DGMACCA
Pineoblastoma,#98eb60,PPRT
CNS ganglioneuroblastoma,#81f95f,PPRT
Papillary tumour of the pineal region,#AEDE8A,PPRT
Pineal parenchymal tumour of intermediate differentiation,#b4f79b,PPRT
Pineocytoma,#DE7B2C,PPRT
Low-grade B-cell lymphomas of the CNS,#3C1B46,HT_CNS
"EBV-positive diffuse large B-cell lymphoma, NOS",#431b46,HT_CNS
Diffuse large B-cell lymphoma of the CNS,#250b35,HT_CNS
Immature teratoma,#996a4d,GCT
Osteoma,#8a663d,GCT
Mature teratoma,#a45548,GCT
Perineurioma,#c39f88,GCT
Germinoma,#c5b391,GCT
Atypical choroid plexus papilloma,#7B3E0A,CPT
Choroid plexus papilloma,#923c13,CPT
Choroid plexus carcinoma,#855912,CPT
Choriocarcinoma,#79502b,CPT
Rhabdomyosarcoma,#007BB8,
Fibrosarcoma,#0085ab,
Osteosarcoma,#0070be,
Leiomyosarcoma,#007bce,
Spindle cell oncocytoma,#AD6EF1,
Subependymal giant cell astrocytoma,#b26eee,
Olfactory neuroblastoma,#aa4a1c,
Central neurocytoma,#B85400,
Granular cell tumour of the sellar region,#c1dd8d,
Metastatic tumours,#77523c,
Meningeal melanoma,#b6dc95,
Giant cell glioblastoma,#9df4a4,
Meningeal melanocytoma,#102A46,
Diffuse leptomeningeal glioneuronal tumour,#d1723a,
Cerebellar liponeurocytoma,#d17421,
Langerhans cell histiocytosis,#4dcc8e,
Liposarcoma,#e17e33,
Astroblastoma,#ded9d9,
Undifferentiated pleomorphic sarcoma,#000000,
Leiomyoma,#000f00,
Epitheloid MPNST,#000500,
Dysplastic cerebellar gangliocytoma,#00030d,
Inflammatory myofibroblastic tumour,#0a0000,
Desmoplastic infantile astrocytoma and ganglioglioma,#041100,
Teratoma with malignant transformation,#000300,
Erdheim-Chester disease,#0d1800,
Juvenile xanthogranuloma,#060f09,
Chordoid glioma of the third ventricle,#000009,
Follicular lymphoma,#060000,
Mixed germ cell tumour,#00000f,
Immunodeficiency-associated CNS lymphoma,#000813,
Intravascular large B-cell lymphoma,#001400,
Crystal-storing histiocytosis,#020a12,
Embryonal carcinoma,#011200,
MALT lymphoma of the dura,#030f00,
Lipoma,#001600,
